,Fixed telephone subscriptions,Urban population,Rural population,"Population ages 65 and above, male","Population ages 65 and above, total","Population ages 65 and above, female","Population ages 15-64, total","Population ages 15-64, male","Population ages 15-64, female","Population ages 0-14, male","Population ages 0-14, total","Population ages 0-14, female","Agriculture, forestry, and fishing, value added (current US$)","Industry (including construction), value added (current US$)","Manufacturing, value added (current US$)","Services, value added (current US$)",Mobile cellular subscriptions,Fixed broadband subscriptions,"Air transport, registered carrier departures worldwide",Country
1975,21500.0,1658389.0,10498997.0,157629.0,316074.0,158445.0,6376579.0,3280477.0,3096102.0,2771012.0,5464733.0,2693721.0,,,,,0.0,,4700.0,Afghanistan
1976,22200.0,1748732.0,10676535.0,160015.0,322143.0,162129.0,6491903.0,3336007.0,3155897.0,2846081.0,5611221.0,2765141.0,,,,,0.0,,4500.0,Afghanistan
1977,22200.0,1841815.0,10845486.0,162341.0,327902.0,165561.0,6603844.0,3389882.0,3213962.0,2920100.0,5755555.0,2835456.0,,,,,0.0,,4900.0,Afghanistan
1978,25300.0,1937336.0,11001526.0,164187.0,332623.0,168436.0,6710175.0,3439579.0,3270596.0,2992258.0,5896064.0,2903806.0,,,,,0.0,,4800.0,Afghanistan
1979,25300.0,2005355.0,10981014.0,162937.0,331176.0,168238.0,6711038.0,3432361.0,3278677.0,3017524.0,5944156.0,2926632.0,,,,,0.0,,4900.0,Afghanistan
1980,25800.0,1997237.0,10489394.0,154550.0,315231.0,160681.0,6430939.0,3280290.0,3150649.0,2914935.0,5740461.0,2825526.0,,,,,0.0,,4200.0,Afghanistan
1981,31700.0,1847523.0,9307672.0,136143.0,278654.0,142511.0,5726741.0,2913063.0,2813677.0,2615829.0,5149800.0,2533972.0,,,,,0.0,,4200.0,Afghanistan
1982,28000.0,1729839.0,8358450.0,121015.0,248660.0,127644.0,5163712.0,2617324.0,2546387.0,2375980.0,4675918.0,2299937.0,,,,,0.0,,5400.0,Afghanistan
1983,29000.0,1766084.0,8185365.0,117131.0,241640.0,124510.0,5081674.0,2565475.0,2516199.0,2352492.0,4628135.0,2275643.0,,,,,0.0,,5700.0,Afghanistan
1984,30000.0,1881253.0,8362433.0,117698.0,244016.0,126319.0,5219865.0,2621069.0,2598796.0,2430320.0,4779805.0,2349485.0,,,,,0.0,,6200.0,Afghanistan
1985,31000.0,1997007.0,8515214.0,117272.0,244616.0,127344.0,5345522.0,2665856.0,2679666.0,2503414.0,4922083.0,2418669.0,,,,,0.0,,6400.0,Afghanistan
1986,32000.0,2052805.0,8395637.0,113975.0,239021.0,125045.0,5301692.0,2630179.0,2671512.0,2497014.0,4907729.0,2410715.0,,,,,0.0,,5800.0,Afghanistan
1987,33000.0,2096965.0,8225793.0,111022.0,233845.0,122823.0,5226926.0,2584447.0,2642480.0,2474639.0,4861986.0,2387348.0,,,,,0.0,,6000.0,Afghanistan
1988,34000.0,2180319.0,8203141.0,110633.0,233853.0,123220.0,5246397.0,2588283.0,2658113.0,2496483.0,4903210.0,2406727.0,,,,,0.0,,5900.0,Afghanistan
1989,35000.0,2250758.0,8422410.0,113325.0,240097.0,126772.0,5380687.0,2651905.0,2728782.0,2573329.0,5052384.0,2479055.0,,,,,0.0,,5200.0,Afghanistan
1990,36200.0,2264837.0,8429959.0,113182.0,240267.0,127085.0,5377229.0,2648305.0,2728925.0,2586901.0,5077301.0,2490400.0,,,,,0.0,,5300.0,Afghanistan
1991,37000.0,2285067.0,8460100.0,113494.0,241354.0,127860.0,5384510.0,2650263.0,2734246.0,2609202.0,5119303.0,2510102.0,,,,,0.0,,5300.0,Afghanistan
1992,29000.0,2574865.0,9482568.0,127606.0,271765.0,144159.0,6019621.0,2961160.0,3058461.0,2939728.0,5766047.0,2826319.0,,,,,0.0,,5300.0,Afghanistan
1993,29000.0,3002966.0,11000794.0,148782.0,317195.0,168413.0,6964546.0,3426859.0,3537687.0,3428000.0,6722019.0,3294019.0,,,,,0.0,,5100.0,Afghanistan
1994,29000.0,3328199.0,12127356.0,164634.0,351470.0,186836.0,7651708.0,3767371.0,3884337.0,3801453.0,7452377.0,3650923.0,,,,,0.0,,7000.0,Afghanistan
1995,29000.0,3550426.0,12868486.0,175015.0,374319.0,199303.0,8087000.0,3984164.0,4102837.0,4060288.0,7957593.0,3897305.0,,,,,0.0,,7300.0,Afghanistan
1996,29000.0,3714526.0,13392069.0,182357.0,390765.0,208408.0,8379675.0,4132045.0,4247630.0,4254773.0,8336155.0,4081383.0,,,,,0.0,,7500.0,Afghanistan
1997,29000.0,3878852.0,13909967.0,189388.0,406736.0,217349.0,8665271.0,4276806.0,4388466.0,4450669.0,8716812.0,4266144.0,,,,,0.0,,4600.0,Afghanistan
1998,29000.0,4049071.0,14444061.0,196318.0,422731.0,226413.0,8959026.0,4425046.0,4533980.0,4654178.0,9111376.0,4457199.0,,,,,0.0,,1900.0,Afghanistan
1999,29000.0,4235130.0,15027717.0,203924.0,440223.0,236299.0,9284531.0,4589307.0,4695224.0,4874579.0,9538092.0,4663513.0,,,,,0.0,,3400.0,Afghanistan
2000,29000.0,4314700.0,15228282.0,206385.0,446519.0,240135.0,9380032.0,4640905.0,4739128.0,4968153.0,9716430.0,4748278.0,,,,,0.0,,3409.0,Afghanistan
2001,29000.0,4364773.0,15323859.0,207422.0,449855.0,242433.0,9420854.0,4665654.0,4755201.0,5022391.0,9817923.0,4795532.0,,,,,0.0,,,Afghanistan
2002,33050.0,4674867.0,16325389.0,221096.0,480661.0,259565.0,10031307.0,4973410.0,5057897.0,5367695.0,10488288.0,5120594.0,1488809900.0,917698300.0,725473150.0,1393350500.0,25000.0,,,Afghanistan
2003,36700.0,5061866.0,17583264.0,238463.0,519460.0,280996.0,10811839.0,5366533.0,5445306.0,5792486.0,11313831.0,5521344.0,1698629200.0,1030959900.0,768259100.0,1699807200.0,200000.0,,,Afghanistan
2004,,5299549.0,18254002.0,247897.0,540942.0,293046.0,11254197.0,5592642.0,5661555.0,6022188.0,11758412.0,5736225.0,1551684500.0,1369254400.0,916463740.0,2146327400.0,600000.0,200.0,,Afghanistan
2005,,5542073.0,18869118.0,257162.0,561314.0,304151.0,11738147.0,5840098.0,5898049.0,6204843.0,12111730.0,5906886.0,1937272800.0,1669374700.0,1033437760.0,2428702500.0,1200000.0,220.0,,Afghanistan
2006,,5828215.0,19614728.0,268256.0,585793.0,317538.0,12331417.0,6141740.0,6189678.0,6418452.0,12525733.0,6107281.0,1996321900.0,1966679600.0,1142297900.0,2776771600.0,2520366.0,500.0,,Afghanistan
2007,,5987030.0,19916272.0,271683.0,597256.0,325573.0,12433299.0,6197579.0,6235720.0,6598700.0,12872747.0,6274047.0,2924931000.0,2611814400.0,1724286300.0,3914935600.0,4668096.0,500.0,,Afghanistan
2008,,6162823.0,20264376.0,277012.0,612481.0,335468.0,12630067.0,6301399.0,6328667.0,6760595.0,13184652.0,6424057.0,2551399700.0,2758789000.0,1828468000.0,4654402000.0,7898909.0,500.0,,Afghanistan
2009,5130.0,6443215.0,20942092.0,288735.0,639527.0,350793.0,13239481.0,6612672.0,6626810.0,6926571.0,13506299.0,6579728.0,3561063200.0,2661559300.0,1598345900.0,5499387000.0,10500000.0,1000.0,,Afghanistan
2010,16620.0,6691382.0,21498290.0,298195.0,663424.0,365229.0,13722048.0,6861560.0,6860488.0,7080622.0,13804200.0,6723578.0,4097644500.0,3306782700.0,1957761800.0,7641731600.0,10215840.0,1500.0,21677.0,Afghanistan
2011,13509.0,7004588.0,22244568.0,311127.0,694340.0,383213.0,14437898.0,7227756.0,7210142.0,7241399.0,14116918.0,6875520.0,4319070000.0,4136545300.0,2506491100.0,9040055000.0,13797879.0,,25021.0,Afghanistan
2012,90017.0,7360701.0,23105778.0,325455.0,728754.0,403298.0,15286716.0,7661288.0,7625427.0,7412361.0,14451010.0,7038648.0,4927828000.0,4274633000.0,2522635300.0,10218845000.0,15340115.0,1500.0,17775.0,Afghanistan
2013,95769.0,7687539.0,23853670.0,336319.0,758025.0,421706.0,16000570.0,8028459.0,7972111.0,7581794.0,14782614.0,7200820.0,4690895400.0,4204328000.0,2364888600.0,10833935000.0,16807156.0,1500.0,21696.0,Afghanistan
2014,101931.0,8043935.0,24672276.0,348024.0,788186.0,440162.0,16802816.0,8439813.0,8363003.0,7756052.0,15125207.0,7369155.0,4549291000.0,4362819600.0,2358711000.0,10889932000.0,18407168.0,1500.0,25920.0,Afghanistan
2015,110000.0,8371880.0,25381620.0,357248.0,812047.0,454799.0,17485014.0,8789878.0,8695137.0,7924320.0,15456438.0,7532118.0,4126484000.0,4424400400.0,2283790600.0,10646077000.0,19709038.0,7067.0,23532.0,Afghanistan
2016,114192.0,8665979.0,25970228.0,363928.0,830919.0,466990.0,18038552.0,9075174.0,8963378.0,8081758.0,15766736.0,7684978.0,4638291000.0,1886072400.0,741360060.0,10635723000.0,21602982.0,8801.0,22770.0,Afghanistan
2017,118769.0,8999963.0,26643456.0,373212.0,855377.0,482165.0,18706224.0,9414493.0,9291731.0,8240991.0,16081817.0,7840826.0,4992453600.0,1899437400.0,667121100.0,11022063000.0,23929712.0,9182.0,24207.0,Afghanistan
2018,127794.0,9353296.0,27333488.0,383903.0,883085.0,499182.0,19401608.0,9763360.0,9638249.0,8402599.0,16402090.0,7999492.0,4060047600.0,2465776600.0,1134633700.0,10955056000.0,21976356.0,15999.0,10454.0,Afghanistan
2019,134636.0,9727157.0,28042342.0,395783.0,913174.0,517390.0,20127704.0,10127343.0,10000360.0,8567283.0,16728622.0,8161339.0,4872438000.0,2657614600.0,1331477500.0,10486852000.0,22580072.0,19683.0,7334.0,Afghanistan
2020,145787.0,10142913.0,28829316.0,407078.0,941940.0,534863.0,20957368.0,10544398.0,10412972.0,8740826.0,17072920.0,8332095.0,5402592000.0,2826467000.0,1546262400.0,11016114000.0,22678024.0,26570.0,4635.714,Afghanistan
2021,,10551772.0,29547690.0,414713.0,964014.0,549301.0,21722440.0,10927876.0,10794564.0,8912289.0,17413008.0,8500719.0,4951307000.0,2305125000.0,1339800200.0,6876647000.0,,,,Afghanistan
1960,6845.0,493982.0,1114818.0,36488.0,88308.0,51820.0,860262.0,444484.0,415778.0,342780.0,660230.0,317450.0,,,,,0.0,,,Albania
1961,6845.0,513592.0,1146208.0,37049.0,90070.0,53021.0,880985.0,455503.0,425482.0,357772.0,688745.0,330972.0,,,,,,,,Albania
1962,6845.0,530766.0,1180553.0,37779.0,92083.0,54304.0,901816.0,466619.0,435198.0,372922.0,717420.0,344498.0,,,,,,,,Albania
1963,6845.0,547928.0,1214693.0,38569.0,94087.0,55518.0,923218.0,478088.0,445130.0,387720.0,745316.0,357596.0,,,,,,,,Albania
1964,6845.0,565248.0,1248887.0,39339.0,95938.0,56598.0,946272.0,490546.0,455726.0,401802.0,771925.0,370123.0,,,,,,,,Albania
1965,13991.0,582374.0,1282417.0,39964.0,97384.0,57420.0,971355.0,504007.0,467348.0,414667.0,796052.0,381384.0,,,,,0.0,,,Albania
1966,13991.0,599300.0,1315273.0,40386.0,98353.0,57967.0,998344.0,518296.0,480048.0,426509.0,817875.0,391366.0,,,,,,,,Albania
1967,13991.0,616687.0,1348911.0,40723.0,99073.0,58350.0,1027517.0,533727.0,493789.0,437995.0,839008.0,401013.0,,,,,,,,Albania
1968,13991.0,635924.0,1386348.0,41149.0,99987.0,58838.0,1061209.0,551560.0,509650.0,449958.0,861076.0,411118.0,,,,,,,,Albania
1969,13991.0,656733.0,1424962.0,41680.0,101179.0,59499.0,1098019.0,571101.0,526918.0,461577.0,882497.0,420920.0,,,,,,,,Albania
1970,173000.0,677801.0,1457678.0,42232.0,102441.0,60209.0,1133706.0,590159.0,543546.0,470786.0,899332.0,428547.0,,,,,0.0,,,Albania
1971,173000.0,698647.0,1489206.0,42914.0,104074.0,61161.0,1170473.0,609856.0,560617.0,478501.0,913306.0,434805.0,,,,,,,,Albania
1972,173000.0,720649.0,1522477.0,43818.0,106277.0,62459.0,1210344.0,631192.0,579152.0,485821.0,926505.0,440685.0,,,,,,,,Albania
1973,173000.0,742333.0,1554419.0,44869.0,108798.0,63929.0,1251182.0,653071.0,598112.0,491567.0,936772.0,445205.0,,,,,,,,Albania
1974,173000.0,764166.0,1585958.0,46070.0,111591.0,65521.0,1293783.0,675842.0,617941.0,496056.0,944750.0,448694.0,,,,,,,,Albania
1975,21660.0,786668.0,1618163.0,47411.0,114617.0,67206.0,1338552.0,699631.0,638922.0,499908.0,951662.0,451754.0,,,,,0.0,,,Albania
1976,22500.0,809052.0,1649474.0,48789.0,117639.0,68850.0,1384060.0,723693.0,660368.0,502717.0,956827.0,454109.0,,,,,0.0,,,Albania
1977,23800.0,832109.0,1681437.0,50243.0,120728.0,70485.0,1431424.0,748579.0,682845.0,505154.0,961394.0,456240.0,,,,,0.0,,,Albania
1978,24700.0,854618.0,1711648.0,51678.0,123666.0,71988.0,1478214.0,772970.0,705244.0,506694.0,964386.0,457692.0,,,,,0.0,,,Albania
1979,26000.0,876974.0,1740858.0,53109.0,126485.0,73376.0,1524705.0,796981.0,727724.0,507768.0,966642.0,458874.0,,,,,0.0,,,Albania
1980,27300.0,902120.0,1769877.0,54719.0,129692.0,74972.0,1572194.0,821281.0,750913.0,509441.0,970111.0,460670.0,,,,,0.0,,,Albania
1981,29000.0,927513.0,1798543.0,56476.0,133258.0,76782.0,1618587.0,844775.0,773812.0,511322.0,974211.0,462889.0,,,,,0.0,,,Albania
1982,30000.0,954645.0,1829633.0,58443.0,137328.0,78885.0,1666404.0,868787.0,797618.0,514165.0,980546.0,466382.0,,,,,0.0,,,Albania
1983,31000.0,982645.0,1861315.0,60629.0,141953.0,81323.0,1714016.0,892522.0,821494.0,517339.0,987991.0,470653.0,,,,,0.0,,,Albania
1984,32000.0,1011235.0,1893194.0,63069.0,147225.0,84156.0,1760965.0,915798.0,845167.0,520634.0,996239.0,475605.0,,,,,0.0,,,Albania
1985,33275.0,1040127.0,1924635.0,65707.0,153063.0,87355.0,1806483.0,938145.0,868337.0,524067.0,1005217.0,481149.0,,,,,0.0,,,Albania
1986,35000.0,1068501.0,1954134.0,68461.0,159214.0,90753.0,1849298.0,958824.0,890474.0,527305.0,1014123.0,486818.0,,,,,0.0,,,Albania
1987,36000.0,1098349.0,1985256.0,71459.0,165897.0,94438.0,1892829.0,979548.0,913281.0,531375.0,1024879.0,493504.0,,,,,0.0,,,Albania
1988,37000.0,1127722.0,2014614.0,74521.0,172736.0,98215.0,1933503.0,998389.0,935114.0,535580.0,1036097.0,500518.0,,,,,0.0,,,Albania
1989,38550.0,1167160.0,2060783.0,78327.0,181260.0,102933.0,1989469.0,1024606.0,964863.0,544783.0,1057214.0,512431.0,,,,,0.0,,,Albania
1990,40000.0,1197222.0,2089320.0,81669.0,188581.0,106912.0,2027747.0,1041121.0,986626.0,549774.0,1070213.0,520439.0,,,,,0.0,,,Albania
1991,41500.0,1198912.0,2067878.0,83358.0,191830.0,108472.0,2016781.0,1031820.0,984962.0,542088.0,1058179.0,516092.0,,,,,0.0,,,Albania
1992,44848.0,1209490.0,2037549.0,85414.0,195611.0,110196.0,2004866.0,1021644.0,983222.0,534820.0,1046562.0,511742.0,,,,,0.0,,,Albania
1993,43000.0,1219882.0,2007405.0,87835.0,199920.0,112085.0,1992321.0,1010895.0,981425.0,527781.0,1035046.0,507265.0,,,,,0.0,,,Albania
1994,41500.0,1230218.0,1977318.0,90622.0,204695.0,114073.0,1979487.0,999876.0,979612.0,520862.0,1023354.0,502492.0,,,,,0.0,,600.0,Albania
1995,42150.0,1240399.0,1947385.0,93729.0,209873.0,116144.0,1966765.0,988921.0,977844.0,513882.0,1011146.0,497264.0,,,,,0.0,,600.0,Albania
1996,63850.0,1250518.0,1917515.0,97089.0,215403.0,118314.0,1955476.0,978794.0,976681.0,506287.0,997155.0,490868.0,1165017100.0,555900600.0,155437040.0,1272578000.0,2300.0,,1400.0,Albania
1997,86800.0,1260414.0,1887867.0,100678.0,221269.0,120590.0,1946725.0,970054.0,976671.0,497541.0,980288.0,482747.0,712413060.0,409011600.0,103517384.0,955712300.0,3300.0,,1900.0,Albania
1998,115675.0,1270214.0,1858316.0,104499.0,227498.0,122999.0,1940715.0,963139.0,977577.0,487461.0,960317.0,472857.0,732872450.0,390725060.0,120269910.0,1120078100.0,5600.0,,1100.0,Albania
1999,140392.0,1279853.0,1828925.0,108556.0,234216.0,125660.0,1936964.0,958126.0,978838.0,476169.0,937598.0,461429.0,832541630.0,531180320.0,145590160.0,1504366500.0,11008.0,,2700.0,Albania
2000,152687.0,1289391.0,1799636.0,112885.0,241623.0,128738.0,1934786.0,954708.0,980078.0,463893.0,912618.0,448724.0,853223400.0,675038900.0,150276370.0,1541900400.0,29791.0,,3885.0,Albania
2001,197496.0,1298584.0,1761589.0,117235.0,249263.0,132028.0,1928110.0,950104.0,978007.0,449302.0,882800.0,433499.0,890950850.0,852498940.0,160768480.0,1762710500.0,392650.0,,3974.0,Albania
2002,220000.0,1327220.0,1723790.0,122748.0,259583.0,136835.0,1934852.0,953170.0,981682.0,436602.0,856575.0,419973.0,957667000.0,1004680700.0,176816060.0,1903432700.0,851000.0,,3762.0,Albania
2003,255000.0,1354848.0,1684768.0,128491.0,270520.0,142030.0,1940739.0,956612.0,984126.0,422981.0,828357.0,405376.0,1233309000.0,1349879600.0,231427090.0,2351861000.0,1100000.0,,3800.0,Albania
2004,274557.0,1381828.0,1645111.0,134314.0,281761.0,147447.0,1946550.0,960590.0,985961.0,408644.0,798628.0,389985.0,1475553900.0,1772143100.0,300144350.0,3059269000.0,1259590.0,,4104.0,Albania
2005,278973.0,1407298.0,1604189.0,139941.0,292713.0,152772.0,1951717.0,964664.0,987053.0,393304.0,767057.0,373753.0,1517438100.0,2019589400.0,356372220.0,3507038700.0,1530244.0,272.0,4309.0,Albania
2006,256000.0,1430886.0,1561661.0,145157.0,302864.0,157707.0,1955295.0,968070.0,987225.0,377402.0,734388.0,356986.0,1575348100.0,2251420400.0,436345730.0,3871874000.0,1909885.0,272.0,4481.0,Albania
2007,300000.0,1452398.0,1517619.0,150089.0,312345.0,162256.0,1956736.0,970360.0,986377.0,361172.0,700936.0,339764.0,1831547500.0,2705669400.0,565555500.0,4766338600.0,2322436.0,10000.0,4930.0,Albania
2008,343591.0,1473392.0,1473922.0,154804.0,321315.0,166511.0,1957585.0,972352.0,985233.0,345320.0,668414.0,323094.0,2168840400.0,3241078800.0,643784000.0,5757856000.0,1859632.0,64000.0,5058.0,Albania
2009,363000.0,1495260.0,1432259.0,159287.0,329793.0,170506.0,1959562.0,974822.0,984740.0,330432.0,638164.0,307732.0,2022750500.0,2940446200.0,626007500.0,5458100000.0,2463741.0,92000.0,5140.0,Albania
2010,333066.0,1519519.0,1393502.0,163788.0,338334.0,174546.0,1963578.0,978130.0,985448.0,316995.0,611109.0,294114.0,2141582300.0,2974271700.0,650270800.0,5250898000.0,2692372.0,105539.0,9412.0,Albania
2011,338844.0,1546929.0,1358266.0,168599.0,347549.0,178950.0,1969436.0,982134.0,987301.0,305438.0,588210.0,282772.0,2349572600.0,3156236500.0,729861900.0,5704984600.0,3100000.0,128210.0,10373.211,Albania
2012,312000.0,1575788.0,1324613.0,173690.0,357357.0,183667.0,1974096.0,985321.0,988774.0,295475.0,568948.0,273472.0,2312038100.0,2823527000.0,568493400.0,5538341000.0,3500000.0,160088.0,10309.179,Albania
2013,281200.0,1603505.0,1291587.0,178886.0,367497.0,188612.0,1975006.0,986499.0,988507.0,286777.0,552588.0,265812.0,2499687700.0,2946364700.0,646451400.0,5699087400.0,3685983.0,182556.0,11196.0,Albania
2014,235734.0,1630119.0,1258985.0,184476.0,378419.0,193943.0,1972967.0,985989.0,986978.0,278775.0,537717.0,258942.0,2644330800.0,2845222000.0,704503230.0,6056162300.0,3359654.0,207964.0,1992.0,Albania
2015,226718.0,1654503.0,1226200.0,190286.0,389858.0,199572.0,1967517.0,983654.0,983862.0,270950.0,523328.0,252378.0,2252343300.0,2478197800.0,645807400.0,5270340000.0,3400955.0,242870.0,,Albania
2016,248640.0,1680247.0,1195854.0,196230.0,401830.0,205599.0,1962501.0,981542.0,980959.0,264404.0,511771.0,247367.0,2354447600.0,2507690800.0,674241300.0,5538844700.0,3369756.0,266379.0,306.0,Albania
2017,246720.0,1706345.0,1167112.0,202121.0,413811.0,211689.0,1958423.0,979771.0,978652.0,258326.0,501223.0,242897.0,2476624600.0,2650596000.0,801771650.0,6245483000.0,3625699.0,303612.0,1904.0,Albania
2018,248631.0,1728969.0,1137407.0,207906.0,425666.0,217760.0,1951044.0,976284.0,974760.0,251691.0,489665.0,237975.0,2793251600.0,3225183700.0,929583700.0,7238029300.0,2714878.0,361947.0,2935.0,Albania
2019,242859.0,1747593.0,1106598.0,213847.0,438134.0,224287.0,1937930.0,969954.0,967976.0,245027.0,478127.0,233101.0,2832296200.0,3175800300.0,963568600.0,7455612400.0,2630076.0,436192.0,2558.0,Albania
2020,223469.0,1762645.0,1075204.0,218700.0,449008.0,230308.0,1921404.0,961677.0,959728.0,238887.0,467437.0,228549.0,2915069400.0,3027676000.0,913668740.0,7322209000.0,2618880.0,508937.0,1274.0,Albania
2021,197690.0,1770478.0,1041188.0,221617.0,456453.0,234835.0,1897426.0,949439.0,947987.0,233398.0,457788.0,224390.0,3224713200.0,3984084200.0,1137449000.0,8710337000.0,2635466.0,559394.0,,Albania
1960,,3476403.0,7917904.0,174719.0,357746.0,183026.0,5824918.0,2905638.0,2919279.0,2666002.0,5211644.0,2545642.0,,,,,0.0,,,Algeria
1961,,3688009.0,7910599.0,182905.0,378653.0,195748.0,5869897.0,2928021.0,2941875.0,2740661.0,5350058.0,2609397.0,,,,,,,,Algeria
1962,,3912031.0,7866229.0,196865.0,412474.0,215609.0,5905143.0,2951740.0,2953402.0,2805982.0,5460644.0,2654661.0,,,,,,,,Algeria
1963,,4148851.0,7820600.0,210818.0,444621.0,233802.0,5943869.0,2978445.0,2965424.0,2877140.0,5580961.0,2703821.0,,,,,,,,Algeria
1964,,4401648.0,7777451.0,223820.0,471679.0,247859.0,6001519.0,3018747.0,2982772.0,2951144.0,5705901.0,2754757.0,,,,,,,,Algeria
1965,72700.0,4660676.0,7720580.0,235505.0,493386.0,257880.0,6072016.0,3068421.0,3003595.0,3015947.0,5815854.0,2799907.0,,,,,0.0,,,Algeria
1966,72700.0,4899040.0,7714349.0,240436.0,501486.0,261051.0,6172846.0,3129633.0,3043213.0,3079408.0,5939056.0,2859648.0,,,,,,,,Algeria
1967,72700.0,5030391.0,7866724.0,239126.0,498051.0,258925.0,6313036.0,3206707.0,3106329.0,3148292.0,6086028.0,2937736.0,,,,,,,,Algeria
1968,72700.0,5166773.0,8024202.0,237683.0,494325.0,256641.0,6471455.0,3293549.0,3177906.0,3212990.0,6225195.0,3012205.0,,,,,,,,Algeria
1969,72700.0,5306556.0,8184460.0,235963.0,490050.0,254088.0,6640764.0,3385601.0,3255163.0,3276062.0,6360202.0,3084140.0,,,,,,,,Algeria
1970,95800.0,5449386.0,8346529.0,234049.0,485555.0,251506.0,6813363.0,3478455.0,3334907.0,3341022.0,6496998.0,3155977.0,,,,,0.0,,14800.0,Algeria
1971,95800.0,5596839.0,8513432.0,232277.0,481550.0,249273.0,6989839.0,3572194.0,3417645.0,3409759.0,6638882.0,3229123.0,,,,,,,17400.0,Algeria
1972,95800.0,5751496.0,8688252.0,230873.0,478594.0,247722.0,7175283.0,3669681.0,3505603.0,3481916.0,6785870.0,3303954.0,,,,,,,19300.0,Algeria
1973,95800.0,5914144.0,8872325.0,229874.0,476682.0,246808.0,7373785.0,3773562.0,3600223.0,3555959.0,6936002.0,3380044.0,,,,,,,26200.0,Algeria
1974,95800.0,6086141.0,9067461.0,229151.0,475801.0,246650.0,7589845.0,3886101.0,3703744.0,3631009.0,7087957.0,3456948.0,,,,,,,29300.0,Algeria
1975,128900.0,6341768.0,9382924.0,239951.0,494174.0,254223.0,7871099.0,4014355.0,3856744.0,3780043.0,7359419.0,3579375.0,,,,,0.0,,31900.0,Algeria
1976,140723.0,6682214.0,9818302.0,265016.0,536647.0,271630.0,8201406.0,4150779.0,4050627.0,4009750.0,7762463.0,3752714.0,,,,,0.0,,34400.0,Algeria
1977,172400.0,7012682.0,10121510.0,279844.0,564037.0,284192.0,8501215.0,4289120.0,4212094.0,4176407.0,8068941.0,3892533.0,,,,,0.0,,32900.0,Algeria
1978,207000.0,7369388.0,10263257.0,281573.0,571121.0,289548.0,8793101.0,4440486.0,4352616.0,4274125.0,8268423.0,3994298.0,,,,,0.0,,35000.0,Algeria
